run-all via ollama/qwen3.5:2b
Skipping STEP_1_analyze_phase1 (complete)

============================================================
Executing STEP_2_phase2_generalization
============================================================

DHTP-RS-MASTER-001 — STEP_2_phase2_generalization
  Provider: ollama (qwen3.5:2b)
  20 trials × 3 conditions × 6 probes = 360 LLM calls
  Evaluator: blind rubric (NOT independent)
  [92/360] contradiction_detection/matched_budget_raw t12: q=80% tok=311 
  [93/360] contradiction_detection/matched_budget_raw t13: q=80% tok=311 
  [94/360] contradiction_detection/matched_budget_raw t14: q=80% tok=311 
  [95/360] contradiction_detection/matched_budget_raw t15: q=80% tok=311 
  [96/360] contradiction_detection/matched_budget_raw t16: q=80% tok=311 
  [97/360] contradiction_detection/matched_budget_raw t17: q=80% tok=311 
  [98/360] contradiction_detection/matched_budget_raw t18: q=80% tok=311 
  [99/360] contradiction_detection/matched_budget_raw t19: q=80% tok=311 
  [100/360] contradiction_detection/matched_budget_raw t20: q=80% tok=311 
  [101/360] contradiction_detection/random_budget_raw t1: q=47% tok=150 
  [102/360] contradiction_detection/random_budget_raw t2: q=73% tok=150 
  [103/360] contradiction_detection/random_budget_raw t3: q=73% tok=150 
  [104/360] contradiction_detection/random_budget_raw t4: q=80% tok=150 
  [105/360] contradiction_detection/random_budget_raw t5: q=80% tok=150 
  [106/360] contradiction_detection/random_budget_raw t6: q=80% tok=150 
  [107/360] contradiction_detection/random_budget_raw t7: q=80% tok=150 
  [108/360] contradiction_detection/random_budget_raw t8: q=80% tok=150 
  [109/360] contradiction_detection/random_budget_raw t9: q=80% tok=150 
  [110/360] contradiction_detection/random_budget_raw t10: q=80% tok=150 
  [111/360] contradiction_detection/random_budget_raw t11: q=80% tok=151 
  [112/360] contradiction_detection/random_budget_raw t12: q=80% tok=151 
  [113/360] contradiction_detection/random_budget_raw t13: q=73% tok=151 
  [114/360] contradiction_detection/random_budget_raw t14: q=80% tok=151 
  [115/360] contradiction_detection/random_budget_raw t15: q=73% tok=151 
  [116/360] contradiction_detection/random_budget_raw t16: q=80% tok=151 
  [117/360] contradiction_detection/random_budget_raw t17: q=73% tok=151 
  [118/360] contradiction_detection/random_budget_raw t18: q=80% tok=151 
  [119/360] contradiction_detection/random_budget_raw t19: q=73% tok=151 
  [120/360] contradiction_detection/random_budget_raw t20: q=80% tok=151 
  [121/360] decision/dhtp_packet t1: q=88% tok=276 
  [122/360] decision/dhtp_packet t2: q=88% tok=273 
  [123/360] decision/dhtp_packet t3: q=88% tok=276 
  [124/360] decision/dhtp_packet t4: q=88% tok=275 
  [125/360] decision/dhtp_packet t5: q=88% tok=277 
  [126/360] decision/dhtp_packet t6: q=88% tok=276 
  [127/360] decision/dhtp_packet t7: q=88% tok=276 
  [128/360] decision/dhtp_packet t8: q=88% tok=277 
  [129/360] decision/dhtp_packet t9: q=79% tok=277 
  [130/360] decision/dhtp_packet t10: q=88% tok=277 
  [131/360] decision/dhtp_packet t11: q=88% tok=276 
  [132/360] decision/dhtp_packet t12: q=88% tok=275 
  [133/360] decision/dhtp_packet t13: q=88% tok=278 
  [134/360] decision/dhtp_packet t14: q=79% tok=277 
  [135/360] decision/dhtp_packet t15: q=88% tok=275 
  [136/360] decision/dhtp_packet t16: q=88% tok=278 
  [137/360] decision/dhtp_packet t17: q=88% tok=277 
  [138/360] decision/dhtp_packet t18: q=88% tok=276 
  [139/360] decision/dhtp_packet t19: q=88% tok=275 
  [140/360] decision/dhtp_packet t20: q=88% tok=277 
  [141/360] decision/matched_budget_raw t1: q=72% tok=300 
  [142/360] decision/matched_budget_raw t2: q=72% tok=300 
  [143/360] decision/matched_budget_raw t3: q=72% tok=300 
  [144/360] decision/matched_budget_raw t4: q=72% tok=300 
  [145/360] decision/matched_budget_raw t5: q=72% tok=300 
  [146/360] decision/matched_budget_raw t6: q=72% tok=300 
  [147/360] decision/matched_budget_raw t7: q=72% tok=300 
  [148/360] decision/matched_budget_raw t8: q=72% tok=300 
  [149/360] decision/matched_budget_raw t9: q=72% tok=300 
  [150/360] decision/matched_budget_raw t10: q=72% tok=300 
  [151/360] decision/matched_budget_raw t11: q=72% tok=302 
  [152/360] decision/matched_budget_raw t12: q=72% tok=302 
  [153/360] decision/matched_budget_raw t13: q=72% tok=302 
  [154/360] decision/matched_budget_raw t14: q=81% tok=302 
  [155/360] decision/matched_budget_raw t15: q=72% tok=302 
  [156/360] decision/matched_budget_raw t16: q=72% tok=302 
  [157/360] decision/matched_budget_raw t17: q=72% tok=302 
  [158/360] decision/matched_budget_raw t18: q=81% tok=302 
  [159/360] decision/matched_budget_raw t19: q=72% tok=302 
  [160/360] decision/matched_budget_raw t20: q=72% tok=302 
  [161/360] decision/random_budget_raw t1: q=65% tok=141 
  [162/360] decision/random_budget_raw t2: q=72% tok=141 
  [163/360] decision/random_budget_raw t3: q=65% tok=141 
  [164/360] decision/random_budget_raw t4: q=72% tok=141 
  [165/360] decision/random_budget_raw t5: q=72% tok=141 
  [166/360] decision/random_budget_raw t6: q=72% tok=141 
  [167/360] decision/random_budget_raw t7: q=72% tok=141 
  [168/360] decision/random_budget_raw t8: q=72% tok=141 
  [169/360] decision/random_budget_raw t9: q=72% tok=141 
  [170/360] decision/random_budget_raw t10: q=72% tok=141 
  [171/360] decision/random_budget_raw t11: q=72% tok=142 
  [172/360] decision/random_budget_raw t12: q=72% tok=142 
  [173/360] decision/random_budget_raw t13: q=72% tok=142 
  [174/360] decision/random_budget_raw t14: q=72% tok=142 
  [175/360] decision/random_budget_raw t15: q=72% tok=142 
  [176/360] decision/random_budget_raw t16: q=72% tok=142 
  [177/360] decision/random_budget_raw t17: q=72% tok=142 
  [178/360] decision/random_budget_raw t18: q=72% tok=142 
  [179/360] decision/random_budget_raw t19: q=72% tok=142 
  [180/360] decision/random_budget_raw t20: q=72% tok=142 
  [181/360] temporal_reasoning/dhtp_packet t1: q=100% tok=281 
  [182/360] temporal_reasoning/dhtp_packet t2: q=100% tok=281 
  [183/360] temporal_reasoning/dhtp_packet t3: q=93% tok=277 
  [184/360] temporal_reasoning/dhtp_packet t4: q=100% tok=276 
  [185/360] temporal_reasoning/dhtp_packet t5: q=100% tok=281 
  [186/360] temporal_reasoning/dhtp_packet t6: q=100% tok=280 
  [187/360] temporal_reasoning/dhtp_packet t7: q=100% tok=277 
  [188/360] temporal_reasoning/dhtp_packet t8: q=100% tok=281 
  [189/360] temporal_reasoning/dhtp_packet t9: q=100% tok=279 
  [190/360] temporal_reasoning/dhtp_packet t10: q=100% tok=280 
  [191/360] temporal_reasoning/dhtp_packet t11: q=100% tok=281 
  [192/360] temporal_reasoning/dhtp_packet t12: q=100% tok=279 
  [193/360] temporal_reasoning/dhtp_packet t13: q=100% tok=279 
  [194/360] temporal_reasoning/dhtp_packet t14: q=100% tok=280 
  [195/360] temporal_reasoning/dhtp_packet t15: q=100% tok=278 
  [196/360] temporal_reasoning/dhtp_packet t16: q=72% tok=281 
  [197/360] temporal_reasoning/dhtp_packet t17: q=100% tok=279 
  [198/360] temporal_reasoning/dhtp_packet t18: q=100% tok=280 
  [199/360] temporal_reasoning/dhtp_packet t19: q=100% tok=280 
  [200/360] temporal_reasoning/dhtp_packet t20: q=100% tok=281 
  [201/360] temporal_reasoning/matched_budget_raw t1: q=100% tok=310 
  [202/360] temporal_reasoning/matched_budget_raw t2: q=95% tok=310 
  [203/360] temporal_reasoning/matched_budget_raw t3: q=100% tok=310 
  [204/360] temporal_reasoning/matched_budget_raw t4: q=100% tok=310 
  [205/360] temporal_reasoning/matched_budget_raw t5: q=100% tok=310 
  [206/360] temporal_reasoning/matched_budget_raw t6: q=100% tok=310 
  [207/360] temporal_reasoning/matched_budget_raw t7: q=100% tok=310 
  [208/360] temporal_reasoning/matched_budget_raw t8: q=100% tok=310 
  [209/360] temporal_reasoning/matched_budget_raw t9: q=100% tok=310 
  [210/360] temporal_reasoning/matched_budget_raw t10: q=100% tok=310 
  [211/360] temporal_reasoning/matched_budget_raw t11: q=100% tok=310 
  [212/360] temporal_reasoning/matched_budget_raw t12: q=100% tok=310 
  [213/360] temporal_reasoning/matched_budget_raw t13: q=95% tok=310 
  [214/360] temporal_reasoning/matched_budget_raw t14: q=100% tok=310 
  [215/360] temporal_reasoning/matched_budget_raw t15: q=100% tok=310 
  [216/360] temporal_reasoning/matched_budget_raw t16: q=100% tok=310 
  [217/360] temporal_reasoning/matched_budget_raw t17: q=100% tok=310 
  [218/360] temporal_reasoning/matched_budget_raw t18: q=100% tok=310 
  [219/360] temporal_reasoning/matched_budget_raw t19: q=100% tok=310 
  [220/360] temporal_reasoning/matched_budget_raw t20: q=100% tok=310 
  [221/360] temporal_reasoning/random_budget_raw t1: q=95% tok=147 
  [222/360] temporal_reasoning/random_budget_raw t2: q=100% tok=147 
  [223/360] temporal_reasoning/random_budget_raw t3: q=100% tok=147 
  [224/360] temporal_reasoning/random_budget_raw t4: q=100% tok=147 
  [225/360] temporal_reasoning/random_budget_raw t5: q=100% tok=147 
  [226/360] temporal_reasoning/random_budget_raw t6: q=100% tok=147 
  [227/360] temporal_reasoning/random_budget_raw t7: q=93% tok=147 
  [228/360] temporal_reasoning/random_budget_raw t8: q=95% tok=147 
  [229/360] temporal_reasoning/random_budget_raw t9: q=93% tok=147 
  [230/360] temporal_reasoning/random_budget_raw t10: q=100% tok=147 
  [231/360] temporal_reasoning/random_budget_raw t11: q=100% tok=148 
  [232/360] temporal_reasoning/random_budget_raw t12: q=100% tok=148 
  [233/360] temporal_reasoning/random_budget_raw t13: q=93% tok=148 
  [234/360] temporal_reasoning/random_budget_raw t14: q=100% tok=148 
  [235/360] temporal_reasoning/random_budget_raw t15: q=100% tok=148 
  [236/360] temporal_reasoning/random_budget_raw t16: q=100% tok=148 
  [237/360] temporal_reasoning/random_budget_raw t17: q=100% tok=148 
  [238/360] temporal_reasoning/random_budget_raw t18: q=100% tok=148 
  [239/360] temporal_reasoning/random_budget_raw t19: q=100% tok=148 
  [240/360] temporal_reasoning/random_budget_raw t20: q=95% tok=148 
  [241/360] anomaly_detection/dhtp_packet t1: q=83% tok=277 
  [242/360] anomaly_detection/dhtp_packet t2: q=100% tok=279 
  [243/360] anomaly_detection/dhtp_packet t3: q=100% tok=278 
  [244/360] anomaly_detection/dhtp_packet t4: q=83% tok=276 
  [245/360] anomaly_detection/dhtp_packet t5: q=82% tok=276 
  [246/360] anomaly_detection/dhtp_packet t6: q=83% tok=276 
  [247/360] anomaly_detection/dhtp_packet t7: q=100% tok=279 
  [248/360] anomaly_detection/dhtp_packet t8: q=65% tok=279 
  [249/360] anomaly_detection/dhtp_packet t9: q=100% tok=277 
  [250/360] anomaly_detection/dhtp_packet t10: q=83% tok=278 
  [251/360] anomaly_detection/dhtp_packet t11: q=100% tok=278 
  [252/360] anomaly_detection/dhtp_packet t12: q=100% tok=275 
  [253/360] anomaly_detection/dhtp_packet t13: q=65% tok=277 
  [254/360] anomaly_detection/dhtp_packet t14: q=90% tok=277 
  [255/360] anomaly_detection/dhtp_packet t15: q=83% tok=278 
  [256/360] anomaly_detection/dhtp_packet t16: q=83% tok=275 
  [257/360] anomaly_detection/dhtp_packet t17: q=100% tok=277 
  [258/360] anomaly_detection/dhtp_packet t18: q=83% tok=278 
  [259/360] anomaly_detection/dhtp_packet t19: q=100% tok=279 
  [260/360] anomaly_detection/dhtp_packet t20: q=83% tok=277 
  [261/360] anomaly_detection/matched_budget_raw t1: q=83% tok=303 
  [262/360] anomaly_detection/matched_budget_raw t2: q=83% tok=303 
  [263/360] anomaly_detection/matched_budget_raw t3: q=83% tok=303 
  [264/360] anomaly_detection/matched_budget_raw t4: q=83% tok=303 
  [265/360] anomaly_detection/matched_budget_raw t5: q=83% tok=303 
  [266/360] anomaly_detection/matched_budget_raw t6: q=83% tok=303 
  [267/360] anomaly_detection/matched_budget_raw t7: q=83% tok=303 
  [268/360] anomaly_detection/matched_budget_raw t8: q=83% tok=303 
  [269/360] anomaly_detection/matched_budget_raw t9: q=83% tok=303 
  [270/360] anomaly_detection/matched_budget_raw t10: q=83% tok=303 
  [271/360] anomaly_detection/matched_budget_raw t11: q=83% tok=304 
  [272/360] anomaly_detection/matched_budget_raw t12: q=83% tok=304 
  [273/360] anomaly_detection/matched_budget_raw t13: q=83% tok=304 
  [274/360] anomaly_detection/matched_budget_raw t14: q=83% tok=304 
  [275/360] anomaly_detection/matched_budget_raw t15: q=83% tok=304 
  [276/360] anomaly_detection/matched_budget_raw t16: q=83% tok=304 
  [277/360] anomaly_detection/matched_budget_raw t17: q=83% tok=304 
  [278/360] anomaly_detection/matched_budget_raw t18: q=83% tok=304 
  [279/360] anomaly_detection/matched_budget_raw t19: q=83% tok=304 
  [280/360] anomaly_detection/matched_budget_raw t20: q=83% tok=304 
  [281/360] anomaly_detection/random_budget_raw t1: q=83% tok=143 
  [282/360] anomaly_detection/random_budget_raw t2: q=83% tok=143 
  [283/360] anomaly_detection/random_budget_raw t3: q=90% tok=143 
  [284/360] anomaly_detection/random_budget_raw t4: q=83% tok=143 
  [285/360] anomaly_detection/random_budget_raw t5: q=90% tok=143 
  [286/360] anomaly_detection/random_budget_raw t6: q=83% tok=143 
  [287/360] anomaly_detection/random_budget_raw t7: q=83% tok=143 
  [288/360] anomaly_detection/random_budget_raw t8: q=83% tok=143 
  [289/360] anomaly_detection/random_budget_raw t9: q=83% tok=143 
  [290/360] anomaly_detection/random_budget_raw t10: q=83% tok=143 
  [291/360] anomaly_detection/random_budget_raw t11: q=83% tok=144 
  [292/360] anomaly_detection/random_budget_raw t12: q=83% tok=144 
  [293/360] anomaly_detection/random_budget_raw t13: q=83% tok=144 
  [294/360] anomaly_detection/random_budget_raw t14: q=83% tok=144 
  [295/360] anomaly_detection/random_budget_raw t15: q=83% tok=144 
  [296/360] anomaly_detection/random_budget_raw t16: q=83% tok=144 
  [297/360] anomaly_detection/random_budget_raw t17: q=83% tok=144 
  [298/360] anomaly_detection/random_budget_raw t18: q=83% tok=144 
  [299/360] anomaly_detection/random_budget_raw t19: q=83% tok=144 
  [300/360] anomaly_detection/random_budget_raw t20: q=83% tok=144 
  [301/360] planning/dhtp_packet t1: q=90% tok=277 
  [302/360] planning/dhtp_packet t2: q=100% tok=276 
  [303/360] planning/dhtp_packet t3: q=100% tok=280 
  [304/360] planning/dhtp_packet t4: q=100% tok=280 
  [305/360] planning/dhtp_packet t5: q=100% tok=280 
  [306/360] planning/dhtp_packet t6: q=100% tok=277 
  [307/360] planning/dhtp_packet t7: q=100% tok=277 
  [308/360] planning/dhtp_packet t8: q=100% tok=280 
  [309/360] planning/dhtp_packet t9: q=100% tok=281 
  [310/360] planning/dhtp_packet t10: q=100% tok=279 
  [311/360] planning/dhtp_packet t11: q=100% tok=280 
  [312/360] planning/dhtp_packet t12: q=100% tok=279 
  [313/360] planning/dhtp_packet t13: q=100% tok=279 
  [314/360] planning/dhtp_packet t14: q=90% tok=279 
  [315/360] planning/dhtp_packet t15: q=100% tok=278 
  [316/360] planning/dhtp_packet t16: q=100% tok=279 
  [317/360] planning/dhtp_packet t17: q=100% tok=278 
  [318/360] planning/dhtp_packet t18: q=100% tok=280 
  [319/360] planning/dhtp_packet t19: q=100% tok=280 
  [320/360] planning/dhtp_packet t20: q=100% tok=281 
  [321/360] planning/matched_budget_raw t1: q=100% tok=308 
  [322/360] planning/matched_budget_raw t2: q=100% tok=308 
  [323/360] planning/matched_budget_raw t3: q=100% tok=308 
  [324/360] planning/matched_budget_raw t4: q=100% tok=308 
  [325/360] planning/matched_budget_raw t5: q=100% tok=308 
  [326/360] planning/matched_budget_raw t6: q=100% tok=308 
  [327/360] planning/matched_budget_raw t7: q=100% tok=308 
  [328/360] planning/matched_budget_raw t8: q=100% tok=308 
  [329/360] planning/matched_budget_raw t9: q=100% tok=308 
  [330/360] planning/matched_budget_raw t10: q=100% tok=308 
  [331/360] planning/matched_budget_raw t11: q=100% tok=308 
  [332/360] planning/matched_budget_raw t12: q=100% tok=308 
  [333/360] planning/matched_budget_raw t13: q=100% tok=308 
  [334/360] planning/matched_budget_raw t14: q=100% tok=308 
  [335/360] planning/matched_budget_raw t15: q=100% tok=308 
  [336/360] planning/matched_budget_raw t16: q=100% tok=308 
  [337/360] planning/matched_budget_raw t17: q=100% tok=308 
  [338/360] planning/matched_budget_raw t18: q=100% tok=308 
  [339/360] planning/matched_budget_raw t19: q=100% tok=308 
  [340/360] planning/matched_budget_raw t20: q=100% tok=308 
  [341/360] planning/random_budget_raw t1: q=100% tok=144 
  [342/360] planning/random_budget_raw t2: q=100% tok=144 
  [343/360] planning/random_budget_raw t3: q=100% tok=144 
  [344/360] planning/random_budget_raw t4: q=100% tok=144 
  [345/360] planning/random_budget_raw t5: q=100% tok=144 
  [346/360] planning/random_budget_raw t6: q=100% tok=144 
  [347/360] planning/random_budget_raw t7: q=100% tok=144 
  [348/360] planning/random_budget_raw t8: q=100% tok=144 
  [349/360] planning/random_budget_raw t9: q=100% tok=144 
  [350/360] planning/random_budget_raw t10: q=100% tok=144 
  [351/360] planning/random_budget_raw t11: q=100% tok=145 
  [352/360] planning/random_budget_raw t12: q=100% tok=145 
  [353/360] planning/random_budget_raw t13: q=100% tok=145 
  [354/360] planning/random_budget_raw t14: q=100% tok=145 
  [355/360] planning/random_budget_raw t15: q=100% tok=145 
  [356/360] planning/random_budget_raw t16: q=100% tok=145 
  [357/360] planning/random_budget_raw t17: q=100% tok=145 
  [358/360] planning/random_budget_raw t18: q=100% tok=145 
  [359/360] planning/random_budget_raw t19: q=100% tok=145 
  [360/360] planning/random_budget_raw t20: q=100% tok=145 

Wrote /Users/dutch/concord vs code/concord-cognitive-engine/server/results/dhtp-rs/rsb_6055b7b1-d0e.json

Condition               Quality   Tokens API fail
────────────────────────────────────────────────────
DHTP packet               89.9%      275       0%
Matched-budget raw        87.0%      303       0%
Random-budget raw         84.9%      145       0%

────────────────────────────────────────────────────────────────────────
STATISTICAL REPORT — DHTP-RS-MASTER-001
────────────────────────────────────────────────────────────────────────
  dhtp_packet
    N=120  mean=89.9%  median=88.1%  stdev=10.4pp
    95% CI: 88.0% – 91.7%
    API fail: 0.0%  timeout: 0.0%  success: 100.0%
  matched_budget_raw
    N=120  mean=87.0%  median=83.3%  stdev=10.2pp
    95% CI: 85.2% – 88.8%
    API fail: 0.0%  timeout: 0.0%  success: 100.0%
  random_budget_raw
    N=120  mean=84.9%  median=83.3%  stdev=11.4pp
    95% CI: 82.9% – 87.0%
    API fail: 0.0%  timeout: 0.0%  success: 100.0%

PAIRED DIFFERENCES (DHTP minus control)
  dhtp_packet_minus_matched_budget_raw (n=120)
    mean Δ=2.9pp  median Δ=0.0pp
    95% CI on Δ: 1.0pp – 4.7pp
  dhtp_packet_minus_random_budget_raw (n=120)
    mean Δ=4.9pp  median Δ=6.7pp
    95% CI on Δ: 3.0pp – 6.9pp

FAILURE BREAKDOWN (spec §18)
  schema_failure: 61

Claim level estimate: 2

============================================================
Executing STEP_3_selection_ablations
============================================================

DHTP-RS-MASTER-001 — STEP_3_selection_ablations
  Provider: ollama (qwen3.5:2b)
  20 trials × 5 conditions × 2 probes = 200 LLM calls
  Evaluator: blind rubric (NOT independent)

  [1/200] fleet_health/dhtp_full t1: q=93% tok=201 
  [2/200] fleet_health/dhtp_full t2: q=93% tok=200 
  [3/200] fleet_health/dhtp_full t3: q=93% tok=199 
  [4/200] fleet_health/dhtp_full t4: q=87% tok=202 
  [5/200] fleet_health/dhtp_full t5: q=87% tok=201 
  [6/200] fleet_health/dhtp_full t6: q=87% tok=200 
  [7/200] fleet_health/dhtp_full t7: q=87% tok=200 
  [8/200] fleet_health/dhtp_full t8: q=93% tok=200 
  [9/200] fleet_health/dhtp_full t9: q=87% tok=199 
  [10/200] fleet_health/dhtp_full t10: q=87% tok=200 
  [11/200] fleet_health/dhtp_full t11: q=93% tok=202 
  [12/200] fleet_health/dhtp_full t12: q=87% tok=202 
  [13/200] fleet_health/dhtp_full t13: q=87% tok=202 
  [14/200] fleet_health/dhtp_full t14: q=87% tok=200 
  [15/200] fleet_health/dhtp_full t15: q=93% tok=201 
  [16/200] fleet_health/dhtp_full t16: q=93% tok=200 
  [17/200] fleet_health/dhtp_full t17: q=87% tok=200 
  [18/200] fleet_health/dhtp_full t18: q=87% tok=200 
  [19/200] fleet_health/dhtp_full t19: q=93% tok=201 
  [20/200] fleet_health/dhtp_full t20: q=93% tok=200 
  [21/200] fleet_health/selection_only t1: q=93% tok=399 
  [22/200] fleet_health/selection_only t2: q=93% tok=399 
  [23/200] fleet_health/selection_only t3: q=93% tok=399 
  [24/200] fleet_health/selection_only t4: q=86% tok=399 
  [25/200] fleet_health/selection_only t5: q=93% tok=399 
  [26/200] fleet_health/selection_only t6: q=86% tok=399 
  [27/200] fleet_health/selection_only t7: q=93% tok=399 
  [28/200] fleet_health/selection_only t8: q=93% tok=399 
  [29/200] fleet_health/selection_only t9: q=73% tok=399 
  [30/200] fleet_health/selection_only t10: q=93% tok=399 
  [31/200] fleet_health/selection_only t11: q=86% tok=401 
  [32/200] fleet_health/selection_only t12: q=93% tok=401 
  [33/200] fleet_health/selection_only t13: q=83% tok=401 
  [34/200] fleet_health/selection_only t14: q=93% tok=401 
  [35/200] fleet_health/selection_only t15: q=93% tok=401 
  [36/200] fleet_health/selection_only t16: q=93% tok=401 
  [37/200] fleet_health/selection_only t17: q=93% tok=401 
  [38/200] fleet_health/selection_only t18: q=93% tok=401 
